id,category,topic
1,Технологии и инструменты разработки,Git
2,Технологии и инструменты разработки,Docker
3,Технологии и инструменты разработки,Kubernetes
4,Технологии и инструменты разработки,CI/CD
5,Технологии и инструменты разработки,Markdown
6,Технологии и инструменты разработки,YAML
7,Технологии и инструменты разработки,JSON
8,Технологии и инструменты разработки,REST API
9,Технологии и инструменты разработки,GraphQL
10,Технологии и инструменты разработки,WebSocket
11,Технологии и инструменты разработки,OAuth 2.0
12,Технологии и инструменты разработки,JWT токены
13,Технологии и инструменты разработки,Микросервисная архитектура
14,Технологии и инструменты разработки,Monorepo vs Polyrepo
15,Технологии и инструменты разработки,Feature flags
16,Языки программирования и парадигмы,Python
17,Языки программирования и парадигмы,JavaScript
18,Языки программирования и парадигмы,TypeScript
19,Языки программирования и парадигмы,Go
20,Языки программирования и парадигмы,Rust
21,Языки программирования и парадигмы,ООП (объектно-ориентированное программирование)
22,Языки программирования и парадигмы,Функциональное программирование
23,Языки программирования и парадигмы,Декораторы в Python
24,Языки программирования и парадигмы,Генераторы и итераторы
25,Языки программирования и парадигмы,Async/await
26,Языки программирования и парадигмы,Type hints в Python
27,Языки программирования и парадигмы,Замыкания (closures)
28,C++ и системное программирование,RAII (Resource Acquisition Is Initialization) в C++
29,C++ и системное программирование,Move semantics в C++
30,C++ и системное программирование,"Smart pointers в C++ (unique_ptr, shared_ptr)"
31,C++ и системное программирование,Template metaprogramming в C++
32,C++ и системное программирование,Виртуальные функции и полиморфизм в C++
33,C++ и системное программирование,STL (Standard Template Library)
34,C++ и системное программирование,Перегрузка операторов в C++
35,C++ и системное программирование,Лямбда-функции в C++
36,C++ и системное программирование,Constexpr и compile-time вычисления
37,C++ и системное программирование,Exception handling в C++
38,C++ и системное программирование,Copy elision и RVO (Return Value Optimization)
39,C++ и системное программирование,Множественное наследование в C++
40,C++ и системное программирование,References vs Pointers в C++
41,C++ и системное программирование,C++11/14/17/20/23 новые возможности
42,C++ и системное программирование,"Memory management в C++ (new/delete, allocators)"
43,C++ и системное программирование,Указатели и память в C/C++
44,C++ и системное программирование,Компиляция и линковка в C++
45,C++ и системное программирование,Header files и forward declaration
46,Структуры данных и алгоритмы,Хеш-таблицы
47,Структуры данных и алгоритмы,Бинарное дерево поиска
48,Структуры данных и алгоритмы,Граф и алгоритмы обхода
49,Структуры данных и алгоритмы,Динамическое программирование
50,Структуры данных и алгоритмы,Жадные алгоритмы
51,Структуры данных и алгоритмы,Алгоритм Дейкстры
52,Структуры данных и алгоритмы,Быстрая сортировка (QuickSort)
53,Структуры данных и алгоритмы,Двоичный поиск (Binary Search)
54,Структуры данных и алгоритмы,Связные списки
55,Структуры данных и алгоритмы,Стек и очередь
56,Базы данных,SQL
57,Базы данных,NoSQL
58,Базы данных,PostgreSQL
59,Базы данных,MongoDB
60,Базы данных,Redis
61,Базы данных,Индексы в БД
62,Базы данных,Транзакции и ACID
63,Базы данных,Нормализация БД
64,Базы данных,ORM (Object-Relational Mapping)
65,Базы данных,Миграции БД
66,Машинное обучение и AI,Gradient Descent
67,Машинное обучение и AI,Overfitting и Underfitting
68,Машинное обучение и AI,Cross-validation
69,Машинное обучение и AI,Нейронные сети
70,Машинное обучение и AI,Backpropagation
71,Машинное обучение и AI,Transformer архитектура
72,Машинное обучение и AI,Attention mechanism
73,Машинное обучение и AI,Fine-tuning LLM
74,Машинное обучение и AI,RAG (Retrieval-Augmented Generation)
75,Машинное обучение и AI,Embedding
76,Машинное обучение и AI,Few-shot learning
77,Машинное обучение и AI,Transfer learning
78,Машинное обучение и AI,Tokenization в NLP
79,Машинное обучение и AI,Loss functions
80,Веб-разработка,HTTP протокол
81,Веб-разработка,CORS
82,Веб-разработка,Cookie vs LocalStorage
83,Веб-разработка,Server-Side Rendering (SSR)
84,Веб-разработка,Static Site Generation (SSG)
85,Веб-разработка,Virtual DOM
86,Веб-разработка,WebAssembly
87,Веб-разработка,Progressive Web Apps (PWA)
88,DevOps и инфраструктура,Infrastructure as Code
89,DevOps и инфраструктура,Blue-Green Deployment
90,DevOps и инфраструктура,Canary Deployment
91,DevOps и инфраструктура,Load Balancer
92,DevOps и инфраструктура,Reverse Proxy
93,DevOps и инфраструктура,Container Orchestration
94,DevOps и инфраструктура,Service Mesh
95,DevOps и инфраструктура,Observability
96,Безопасность,SQL Injection
97,Безопасность,XSS (Cross-Site Scripting)
98,Безопасность,CSRF (Cross-Site Request Forgery)
99,Безопасность,Шифрование (Encryption)
100,Безопасность,Хеширование паролей
101,Безопасность,HTTPS и TLS/SSL
